distance(cm)
0.3
0.6
1.0
1.4
1.9
2.5
3.0
4.0
5.0
5.9
6.9
7.0
8.1
9.1
10.2
11.6
13.1
14.6
15.2
16.9
19.6
21.4
23.3
25.3
27.4
29.6
32.0
34.1
36.6
39.0
41.7
44.5
47.2
50.1
53.0
55.8
58.9
62.0
65.4
68.9
72.0
75.5
78.9
82.4
85.6
88.7
91.5
94.3
96.6
98.5
100.0
101.0
101.9
