distance(cm)
0
0.38
0.63
1.19
1.75
2.54
3.3
4.19
5.2
6.28
7.48
8.76
10.29
11.72
13.18
14.94
16.67
18.58
20.65
22.63
24.83
27.1
29.48
31.96
34.46
37.08
39.7
42.69
45.73
48.69
51.82
54.9
58.38
61.82
65.19
68.86
72.6
76.09
79.5
82.85
86.35
