mass_1(g),mass_2_min(g),mass_2_max(g),mass_2_best(g)
393.4,102.0,103.0,102.5
493.4,127.0,128.0,127.5
593.4,140.0,141.0,140.5
693.4,156.0,157.0,156.5
793.4,218.0,219.0,218.5
893.4,233.0,234.0,233.5
